Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,India Captain,Opponent Captain,Toss Result,Powerplay Runs India,Powerplay Runs Opponent,Year
South Africa,India,India,6 wickets,Johannesburg,"Dec 1, 2006",/series/india-tour-of-south-africa-2006-07-249039/south-africa-vs-india-only-t20i-255954/full-scorecard,Virender Sehwag,Graeme Smith,"South Africa, elected to bat first",29/1,31/2,2006
India,Australia,India,7 wickets,Brabourne,"Oct 20, 2007",/series/australia-tour-of-india-2007-08-297424/india-vs-australia-only-t20i-297800/full-scorecard,MS Dhoni,Ricky Ponting,"Australia, elected to bat first",68/1,58/1,2007
India,Pakistan,India,5 runs,Johannesburg,"Sep 24, 2007",/series/icc-world-twenty20-2007-08-286109/india-vs-pakistan-final-287879/full-scorecard,MS Dhoni,Shoaib Malik,"India, elected to bat first",53/3,40/2,2007
Australia,India,India,15 runs,Durban,"Sep 22, 2007",/series/icc-world-twenty20-2007-08-286109/australia-vs-india-2nd-semi-final-287878/full-scorecard,MS Dhoni,Adam Gilchrist,"India, elected to bat first",37/1,36/1,2007
South Africa,India,India,37 runs,Durban,"Sep 20, 2007",/series/icc-world-twenty20-2007-08-286109/south-africa-vs-india-24th-match-group-e-287876/full-scorecard,MS Dhoni,Graeme Smith,"India, elected to bat first",31/5,34/3,2007
England,India,India,18 runs,Durban,"Sep 19, 2007",/series/icc-world-twenty20-2007-08-286109/england-vs-india-21st-match-group-e-287873/full-scorecard,MS Dhoni,Paul Collingwood,"India, elected to bat first",57/1,41/0,2007
India,New Zealand,New Zealand,10 runs,Johannesburg,"Sep 16, 2007",/series/icc-world-twenty20-2007-08-286109/india-vs-new-zealand-13th-match-group-e-287865/full-scorecard,MS Dhoni,Daniel Vettori,"India, elected to field first",76/1,48/1,2007
Australia,India,Australia,9 wickets,Melbourne,"Feb 1, 2008",/series/india-tour-of-australia-2007-08-291320/australia-vs-india-only-t20i-291356/full-scorecard,MS Dhoni,Michael Clarke,"India, elected to bat first",44/0,30/4,2008
India,Sri Lanka,India,6 wickets,Mohali,"Dec 12, 2009",/series/sri-lanka-tour-of-india-2009-10-428635/india-vs-sri-lanka-2nd-t20i-430885/full-scorecard,MS Dhoni,Kumar Sangakkara,"Sri Lanka, elected to bat first",58/1,73/1,2009
India,Sri Lanka,Sri Lanka,29 runs,Nagpur,"Dec 9, 2009",/series/sri-lanka-tour-of-india-2009-10-428635/india-vs-sri-lanka-1st-t20i-430884/full-scorecard,MS Dhoni,Kumar Sangakkara,"India, elected to field first",77/1,43/0,2009
India,South Africa,South Africa,12 runs,Nottingham,"Jun 16, 2009",/series/icc-world-twenty20-2009-335113/india-vs-south-africa-24th-match-group-e-356014/full-scorecard,MS Dhoni,Graeme Smith,"South Africa, elected to bat first",47/0,47/1,2009
England,India,England,3 runs,Lord's,"Jun 14, 2009",/series/icc-world-twenty20-2009-335113/england-vs-india-20th-match-group-e-356010/full-scorecard,MS Dhoni,Paul Collingwood,"India, elected to field first",36/2,40/1,2009
India,West Indies,West Indies,7 wickets,Lord's,"Jun 12, 2009",/series/icc-world-twenty20-2009-335113/india-vs-west-indies-16th-match-group-e-356006/full-scorecard,MS Dhoni,Chris Gayle,"India, elected to bat first",32/1,40/3,2009
India,Ireland,India,8 wickets,Nottingham,"Jun 10, 2009",/series/icc-world-twenty20-2009-335113/india-vs-ireland-12th-match-group-a-356001/full-scorecard,MS Dhoni,William Porterfield,"India, elected to field first",45/0,28/3,2009
Bangladesh,India,India,25 runs,Nottingham,"Jun 6, 2009",/series/icc-world-twenty20-2009-335113/bangladesh-vs-india-4th-match-group-a-355994/full-scorecard,MS Dhoni,Mohammad Ashraful,"India, elected to bat first",55/2,54/0,2009
New Zealand,India,New Zealand,5 wickets,Wellington,"Feb 27, 2009",/series/india-tour-of-new-zealand-2008-09-366616/new-zealand-vs-india-2nd-t20i-366622/full-scorecard,MS Dhoni,Daniel Vettori,"New Zealand, elected to field first",60/1,47/2,2009
New Zealand,India,New Zealand,7 wickets,Christchurch,"Feb 25, 2009",/series/india-tour-of-new-zealand-2008-09-366616/new-zealand-vs-india-1st-t20i-386494/full-scorecard,MS Dhoni,Daniel Vettori,"New Zealand, elected to field first",54/1,56/3,2009
Sri Lanka,India,India,3 wickets,Colombo (RPS),"Feb 10, 2009",/series/india-tour-of-sri-lanka-2008-09-386281/sri-lanka-vs-india-only-t20i-386535/full-scorecard,MS Dhoni,Tillakaratne Dilshan,"Sri Lanka, elected to bat first",57/2,59/1,2009
Zimbabwe,India,India,7 wickets,Harare,"Jun 13, 2010",/series/india-tour-of-zimbabwe-2010-452142/zimbabwe-vs-india-2nd-t20i-452154/full-scorecard,Suresh Raina,Elton Chigumbura,"India, elected to field first",40/1,21/2,2010
Zimbabwe,India,India,6 wickets,Harare,"Jun 12, 2010",/series/india-tour-of-zimbabwe-2010-452142/zimbabwe-vs-india-1st-t20i-452153/full-scorecard,Suresh Raina,Elton Chigumbura,"India, elected to field first",41/2,51/3,2010
India,Sri Lanka,Sri Lanka,5 wickets,Gros Islet,"May 11, 2010",/series/icc-world-twenty20-2010-412671/india-vs-sri-lanka-23rd-match-group-f-412699/full-scorecard,MS Dhoni,Kumar Sangakkara,"India, elected to bat first",41/2,52/1,2010
West Indies,India,West Indies,14 runs,Bridgetown,"May 9, 2010",/series/icc-world-twenty20-2010-412671/west-indies-vs-india-19th-match-group-f-412695/full-scorecard,MS Dhoni,Chris Gayle,"India, elected to field first",33/2,31/0,2010
Australia,India,Australia,49 runs,Bridgetown,"May 7, 2010",/series/icc-world-twenty20-2010-412671/australia-vs-india-15th-match-group-f-412691/full-scorecard,MS Dhoni,Michael Clarke,"India, elected to field first",24/4,53/0,2010
India,South Africa,India,14 runs,Gros Islet,"May 2, 2010",/series/icc-world-twenty20-2010-412671/india-vs-south-africa-5th-match-group-c-412682/full-scorecard,MS Dhoni,Graeme Smith,"South Africa, elected to field first",32/1,36/2,2010
Afghanistan,India,India,7 wickets,Gros Islet,"May 1, 2010",/series/icc-world-twenty20-2010-412671/afghanistan-vs-india-3rd-match-group-c-412679/full-scorecard,MS Dhoni,Nawroz Mangal,"India, elected to field first",47/2,29/3,2010
India,England,England,6 wickets,Eden Gardens,"Oct 29, 2011",/series/england-tour-of-india-2011-12-521211/india-vs-england-only-t20i-521217/full-scorecard,MS Dhoni,Graeme Swann,"India, elected to bat first",28/1,32/3,2011
England,India,England,6 wickets,Manchester,"Aug 31, 2011",/series/india-tour-of-england-2011-474450/england-vs-india-only-t20i-474476/full-scorecard,MS Dhoni,Stuart Broad,"India, elected to bat first",58/1,49/1,2011
West Indies,India,India,16 runs,Port of Spain,"Jun 4, 2011",/series/india-tour-of-west-indies-2011-489197/west-indies-vs-india-only-t20i-489220/full-scorecard,Suresh Raina,Daren Sammy,"West Indies, elected to field first",31/2,46/1,2011
South Africa,India,India,21 runs,Durban,"Jan 9, 2011",/series/india-tour-of-south-africa-2010-11-463136/south-africa-vs-india-only-t20i-463149/full-scorecard,MS Dhoni,Johan Botha,"India, elected to bat first",59/2,57/1,2011
India,Pakistan,India,11 runs,Ahmedabad,"Dec 28, 2012",/series/pakistan-tour-of-india-2012-13-589300/india-vs-pakistan-2nd-t20i-589307/full-scorecard,MS Dhoni,Mohammad Hafeez,"Pakistan, elected to field first",54/0,48/1,2012
India,Pakistan,Pakistan,5 wickets,Bengaluru,"Dec 25, 2012",/series/pakistan-tour-of-india-2012-13-589300/india-vs-pakistan-1st-t20i-589306/full-scorecard,MS Dhoni,Mohammad Hafeez,"Pakistan, elected to field first",22/3,37/0,2012
India,England,England,6 wickets,Wankhede,"Dec 22, 2012",/series/england-tour-of-india-2012-13-565792/india-vs-england-2nd-t20i-565811/full-scorecard,MS Dhoni,Eoin Morgan,"England, elected to field first",62/0,59/1,2012
India,England,India,5 wickets,Pune,"Dec 20, 2012",/series/england-tour-of-india-2012-13-565792/india-vs-england-1st-t20i-565810/full-scorecard,MS Dhoni,Eoin Morgan,"India, elected to field first",52/2,51/1,2012
India,South Africa,India,1 run,Colombo (RPS),"Oct 2, 2012",/series/icc-world-twenty20-2012-13-531597/india-vs-south-africa-24th-match-group-2-533295/full-scorecard,MS Dhoni,AB de Villiers,"South Africa, elected to field first",46/2,36/3,2012
India,Pakistan,India,8 wickets,Colombo (RPS),"Sep 30, 2012",/series/icc-world-twenty20-2012-13-531597/india-vs-pakistan-20th-match-group-2-533291/full-scorecard,MS Dhoni,Mohammad Hafeez,"Pakistan, elected to bat first",36/1,42/2,2012
Australia,India,Australia,9 wickets,Colombo (RPS),"Sep 28, 2012",/series/icc-world-twenty20-2012-13-531597/australia-vs-india-16th-match-group-2-533287/full-scorecard,MS Dhoni,George Bailey,"India, elected to bat first",47/0,50/1,2012
England,India,India,90 runs,Colombo (RPS),"Sep 23, 2012",/series/icc-world-twenty20-2012-13-531597/england-vs-india-10th-match-group-a-533281/full-scorecard,MS Dhoni,Stuart Broad,"England, elected to field first",39/3,52/1,2012
Afghanistan,India,India,23 runs,Colombo (RPS),"Sep 19, 2012",/series/icc-world-twenty20-2012-13-531597/afghanistan-vs-india-3rd-match-group-a-533274/full-scorecard,MS Dhoni,Nawroz Mangal,"Afghanistan, elected to field first",42/1,34/2,2012
India,New Zealand,New Zealand,1 run,Chennai,"Sep 11, 2012",/series/new-zealand-tour-of-india-2012-565793/india-vs-new-zealand-2nd-t20i-565820/full-scorecard,MS Dhoni,Ross Taylor,"India, elected to field first",47/1,36/2,2012
Sri Lanka,India,India,39 runs,Pallekele,"Aug 7, 2012",/series/india-tour-of-sri-lanka-2012-564778/sri-lanka-vs-india-only-t20i-564786/full-scorecard,MS Dhoni,Mahela Jayawardene,"Sri Lanka, elected to field first",52/3,50/1,2012
South Africa,India,South Africa,11 runs,Johannesburg,"Mar 30, 2012",/series/india-tour-of-south-africa-2011-12-556527/south-africa-vs-india-only-t20i-556252/full-scorecard,MS Dhoni,Johan Botha,"India, elected to field first",51/0,55/1,2012
Australia,India,India,8 wickets,Melbourne,"Feb 3, 2012",/series/india-tour-of-australia-2011-12-518944/australia-vs-india-2nd-t20i-518955/full-scorecard,MS Dhoni,George Bailey,"Australia, elected to bat first",42/0,42/2,2012
Australia,India,Australia,31 runs,Sydney,"Feb 1, 2012",/series/india-tour-of-australia-2011-12-518944/australia-vs-india-1st-t20i-518954/full-scorecard,MS Dhoni,George Bailey,"India, elected to field first",49/2,55/1,2012
India,Australia,India,6 wickets,Rajkot,"Oct 10, 2013",/series/australia-tour-of-india-2013-14-647237/india-vs-australia-only-t20i-647247/full-scorecard,MS Dhoni,George Bailey,"India, elected to field first",53/2,74/1,2013
England,India,England,3 runs,Birmingham,"Sep 7, 2014",/series/india-tour-of-england-2014-667693/england-vs-india-only-t20i-667731/full-scorecard,MS Dhoni,Eoin Morgan,"England, elected to bat first",53/1,46/2,2014
India,Sri Lanka,Sri Lanka,6 wickets,Mirpur,"Apr 6, 2014",/series/world-t20-2013-14-628368/india-vs-sri-lanka-final-682965/full-scorecard,MS Dhoni,Lasith Malinga,"Sri Lanka, elected to field first",41/2,31/1,2014
India,South Africa,India,6 wickets,Mirpur,"Apr 4, 2014",/series/world-t20-2013-14-628368/india-vs-south-africa-2nd-semi-final-682963/full-scorecard,MS Dhoni,Faf du Plessis,"South Africa, elected to bat first",56/1,44/2,2014
Australia,India,India,73 runs,Mirpur,"Mar 30, 2014",/series/world-t20-2013-14-628368/australia-vs-india-28th-match-group-2-682951/full-scorecard,MS Dhoni,George Bailey,"Australia, elected to field first",27/3,44/1,2014
Bangladesh,India,India,8 wickets,Mirpur,"Mar 28, 2014",/series/world-t20-2013-14-628368/bangladesh-vs-india-24th-match-group-2-682943/full-scorecard,MS Dhoni,Mushfiqur Rahim,"India, elected to field first",39/1,27/3,2014
India,West Indies,India,7 wickets,Mirpur,"Mar 23, 2014",/series/world-t20-2013-14-628368/india-vs-west-indies-17th-match-group-2-682929/full-scorecard,MS Dhoni,Daren Sammy,"India, elected to field first",48/1,24/0,2014
India,Pakistan,India,7 wickets,Mirpur,"Mar 21, 2014",/series/world-t20-2013-14-628368/india-vs-pakistan-13th-match-group-2-682921/full-scorecard,MS Dhoni,Mohammad Hafeez,"India, elected to field first",38/0,34/1,2014
India,South Africa,South Africa,6 wickets,Cuttack,"Oct 5, 2015",/series/south-africa-tour-of-india-2015-16-903573/india-vs-south-africa-2nd-t20i-903589/full-scorecard,MS Dhoni,Faf du Plessis,"South Africa, elected to field first",38/2,35/2,2015
India,South Africa,South Africa,7 wickets,Dharamsala,"Oct 2, 2015",/series/south-africa-tour-of-india-2015-16-903573/india-vs-south-africa-1st-t20i-903587/full-scorecard,MS Dhoni,Faf du Plessis,"South Africa, elected to field first",67/0,46/1,2015
Zimbabwe,India,Zimbabwe,10 runs,Harare,"Jul 19, 2015",/series/india-tour-of-zimbabwe-2015-885951/zimbabwe-vs-india-2nd-t20i-885971/full-scorecard,Ajinkya Rahane,Sikandar Raza,"Zimbabwe, elected to bat first",57/1,49/2,2015
Zimbabwe,India,India,54 runs,Harare,"Jul 17, 2015",/series/india-tour-of-zimbabwe-2015-885951/zimbabwe-vs-india-1st-t20i-885969/full-scorecard,Ajinkya Rahane,Elton Chigumbura,"India, elected to bat first",38/0,58/0,2015
India,West Indies,West Indies,1 run,Lauderhill,"Aug 27, 2016",/series/india-tour-of-wi-2016-1018687/india-vs-west-indies-1st-t20i-1041615/full-scorecard,MS Dhoni,Carlos Brathwaite,"India, elected to field first",67/2,78/0,2016
Zimbabwe,India,India,3 runs,Harare,"Jun 22, 2016",/series/india-tour-of-zimbabwe-2016-1007647/zimbabwe-vs-india-3rd-t20i-1007659/full-scorecard,MS Dhoni,Graeme Cremer,"Zimbabwe, elected to field first",40/1,29/3,2016
Zimbabwe,India,India,10 wickets,Harare,"Jun 20, 2016",/series/india-tour-of-zimbabwe-2016-1007647/zimbabwe-vs-india-2nd-t20i-1007657/full-scorecard,MS Dhoni,Graeme Cremer,"Zimbabwe, elected to bat first",37/0,35/4,2016
Zimbabwe,India,Zimbabwe,2 runs,Harare,"Jun 18, 2016",/series/india-tour-of-zimbabwe-2016-1007647/zimbabwe-vs-india-1st-t20i-1007655/full-scorecard,MS Dhoni,Graeme Cremer,"India, elected to field first",44/2,41/1,2016
India,West Indies,West Indies,7 wickets,Wankhede,"Mar 31, 2016",/series/world-t20-2015-16-901359/india-vs-west-indies-2nd-semi-final-951371/full-scorecard,MS Dhoni,Daren Sammy,"West Indies, elected to field first",44/2,55/0,2016
India,Australia,India,6 wickets,Mohali,"Mar 27, 2016",/series/world-t20-2015-16-901359/india-vs-australia-31st-match-super-10-group-2-951363/full-scorecard,MS Dhoni,Steven Smith,"Australia, elected to bat first",37/2,59/1,2016
India,Bangladesh,India,1 run,Bengaluru,"Mar 23, 2016",/series/world-t20-2015-16-901359/india-vs-bangladesh-25th-match-super-10-group-2-951353/full-scorecard,MS Dhoni,Mashrafe Mortaza,"Bangladesh, elected to field first",45/1,42/1,2016
India,Pakistan,India,6 wickets,Eden Gardens,"Mar 19, 2016",/series/world-t20-2015-16-901359/india-vs-pakistan-19th-match-super-10-group-2-951341/full-scorecard,MS Dhoni,Shahid Afridi,"India, elected to field first",28/3,28/0,2016
India,New Zealand,New Zealand,47 runs,Nagpur,"Mar 15, 2016",/series/world-t20-2015-16-901359/india-vs-new-zealand-13th-match-super-10-group-2-951329/full-scorecard,MS Dhoni,Kane Williamson,"New Zealand, elected to bat first",29/4,33/2,2016
Bangladesh,India,India,8 wickets,Mirpur,"Mar 6, 2016",/series/asia-cup-2015-16-966595/bangladesh-vs-india-final-966765/full-scorecard,MS Dhoni,Mashrafe Mortaza,"India, elected to field first",48/1,35/2,2016
India,U.A.E.,India,9 wickets,Mirpur,"Mar 3, 2016",/series/asia-cup-2015-16-966595/india-vs-united-arab-emirates-9th-match-966761/full-scorecard,MS Dhoni,Amjad Javed,"United Arab Emirates, elected to bat first",43/1,21/2,2016
India,Sri Lanka,India,5 wickets,Mirpur,"Mar 1, 2016",/series/asia-cup-2015-16-966595/india-vs-sri-lanka-7th-match-966757/full-scorecard,MS Dhoni,Angelo Mathews,"India, elected to field first",37/2,31/2,2016
India,Pakistan,India,5 wickets,Mirpur,"Feb 27, 2016",/series/asia-cup-2015-16-966595/india-vs-pakistan-4th-match-966751/full-scorecard,MS Dhoni,Shahid Afridi,"India, elected to field first",21/3,32/3,2016
Bangladesh,India,India,45 runs,Mirpur,"Feb 24, 2016",/series/asia-cup-2015-16-966595/bangladesh-vs-india-1st-match-966745/full-scorecard,MS Dhoni,Mashrafe Mortaza,"Bangladesh, elected to field first",31/2,31/2,2016
India,Sri Lanka,India,9 wickets,Visakhapatnam,"Feb 14, 2016",/series/sri-lanka-tour-of-india-and-bangladesh-2015-16-954159/india-vs-sri-lanka-3rd-t20i-963701/full-scorecard,MS Dhoni,Dinesh Chandimal,"India, elected to field first",35/1,29/5,2016
India,Sri Lanka,India,69 runs,Ranchi,"Feb 12, 2016",/series/sri-lanka-tour-of-india-and-bangladesh-2015-16-954159/india-vs-sri-lanka-2nd-t20i-963699/full-scorecard,MS Dhoni,Dinesh Chandimal,"Sri Lanka, elected to field first",37/3,70/0,2016
India,Sri Lanka,Sri Lanka,5 wickets,Pune,"Feb 9, 2016",/series/sri-lanka-tour-of-india-and-bangladesh-2015-16-954159/india-vs-sri-lanka-1st-t20i-963697/full-scorecard,MS Dhoni,Dinesh Chandimal,"Sri Lanka, elected to field first",28/2,40/3,2016
Australia,India,India,7 wickets,Sydney,"Jan 31, 2016",/series/india-tour-of-australia-2015-16-895801/australia-vs-india-3rd-t20i-895821/full-scorecard,MS Dhoni,Shane Watson,"Australia, elected to bat first",74/1,57/1,2016
Australia,India,India,27 runs,Melbourne,"Jan 29, 2016",/series/india-tour-of-australia-2015-16-895801/australia-vs-india-2nd-t20i-895819/full-scorecard,MS Dhoni,Aaron Finch,"Australia, elected to field first",62/0,50/0,2016
Australia,India,India,37 runs,Adelaide,"Jan 26, 2016",/series/india-tour-of-australia-2015-16-895801/australia-vs-india-1st-t20i-895817/full-scorecard,MS Dhoni,Aaron Finch,"Australia, elected to field first",56/1,54/2,2016
India,Sri Lanka,India,5 wickets,Wankhede,"Dec 24, 2017",/series/sl-in-india-2017-18-1122718/india-vs-sri-lanka-3rd-t20i-1122731/full-scorecard,Rohit Sharma,Thisara Perera,"India, elected to field first",37/1,37/3,2017
India,Sri Lanka,India,88 runs,Indore,"Dec 22, 2017",/series/sl-in-india-2017-18-1122718/india-vs-sri-lanka-2nd-t20i-1122730/full-scorecard,Rohit Sharma,Thisara Perera,"Sri Lanka, elected to field first",61/1,59/0,2017
