Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,India Captain,Opponent Captain,Toss Result,Powerplay Runs India,Powerplay Runs Opponent,Year
India,Sri Lanka,India,93 runs,Cuttack,"Dec 20, 2017",/series/sl-in-india-2017-18-1122718/india-vs-sri-lanka-1st-t20i-1122729/full-scorecard,Rohit Sharma,Thisara Perera,"Sri Lanka, elected to field first",40/2,50/1,2017
India,New Zealand,India,6 runs,Thiruvananthapuram,"Nov 7, 2017",/series/new-zealand-in-india-2017-18-1120077/india-vs-new-zealand-3rd-t20i-1120095/full-scorecard,Virat Kohli,Kane Williamson,"New Zealand, elected to field first",39/4,50/4,2017
India,New Zealand,New Zealand,40 runs,Rajkot,"Nov 4, 2017",/series/new-zealand-in-india-2017-18-1120077/india-vs-new-zealand-2nd-t20i-1120094/full-scorecard,Virat Kohli,Kane Williamson,"New Zealand, elected to bat first",40/2,48/0,2017
India,New Zealand,India,53 runs,Delhi,"Nov 1, 2017",/series/new-zealand-in-india-2017-18-1120077/india-vs-new-zealand-1st-t20i-1120093/full-scorecard,Virat Kohli,Kane Williamson,"New Zealand, elected to field first",33/2,46/0,2017
India,Australia,Australia,8 wickets,Guwahati,"Oct 10, 2017",/series/aus-in-ind-2017-18-1116552/india-vs-australia-2nd-t20i-1119502/full-scorecard,Virat Kohli,David Warner,"Australia, elected to field first",34/2,38/4,2017
India,Australia,India,9 wickets,Ranchi,"Oct 7, 2017",/series/aus-in-ind-2017-18-1116552/india-vs-australia-1st-t20i-1119501/full-scorecard,Virat Kohli,David Warner,"India, elected to field first",49/1,49/1,2017
Sri Lanka,India,India,7 wickets,Colombo (RPS),"Sep 6, 2017",/series/sl-v-ind-2017-1109590/sri-lanka-vs-india-only-t20i-1109610/full-scorecard,Virat Kohli,Upul Tharanga,"India, elected to field first",43/2,60/2,2017
West Indies,India,West Indies,9 wickets,Kingston,"Jul 9, 2017",/series/wi-v-ind-2017-1098203/west-indies-vs-india-only-t20i-1098211/full-scorecard,Virat Kohli,Carlos Brathwaite,"West Indies, elected to field first",66/0,66/2,2017
India,England,India,75 runs,Bengaluru,"Feb 1, 2017",/series/england-tour-of-india-2016-17-1030195/india-vs-england-3rd-t20i-1034829/full-scorecard,Virat Kohli,Eoin Morgan,"England, elected to field first",55/1,53/1,2017
India,England,India,5 runs,Nagpur,"Jan 29, 2017",/series/england-tour-of-india-2016-17-1030195/india-vs-england-2nd-t20i-1034827/full-scorecard,Virat Kohli,Eoin Morgan,"England, elected to field first",36/2,46/1,2017
India,England,England,7 wickets,Kanpur,"Jan 26, 2017",/series/england-tour-of-india-2016-17-1030195/india-vs-england-1st-t20i-1034825/full-scorecard,Virat Kohli,Eoin Morgan,"England, elected to field first",48/2,47/1,2017
Australia,India,India,6 wickets,Sydney,"Nov 25, 2018",/series/india-in-aus-2018-19-1145097/australia-vs-india-3rd-t20i-1144992/full-scorecard,Virat Kohli,Aaron Finch,"Australia, elected to bat first",67/1,49/0,2018
Australia,India,Australia,4 runs,Brisbane,"Nov 21, 2018",/series/india-in-aus-2018-19-1145097/australia-vs-india-1st-t20i-1144990/full-scorecard,Virat Kohli,Aaron Finch,"India, elected to field first",53/1,38/1,2018
India,West Indies,India,6 wickets,Chennai,"Nov 11, 2018",/series/west-indies-in-india-2018-19-1157747/india-vs-west-indies-3rd-t20i-1157761/full-scorecard,Rohit Sharma,Carlos Brathwaite,"West Indies, elected to bat first",50/2,51/0,2018
India,West Indies,India,71 runs,Lucknow,"Nov 6, 2018",/series/west-indies-in-india-2018-19-1157747/india-vs-west-indies-2nd-t20i-1157760/full-scorecard,Rohit Sharma,Carlos Brathwaite,"West Indies, elected to field first",39/2,49/0,2018
India,West Indies,India,5 wickets,Eden Gardens,"Nov 4, 2018",/series/west-indies-in-india-2018-19-1157747/india-vs-west-indies-1st-t20i-1157759/full-scorecard,Rohit Sharma,Carlos Brathwaite,"India, elected to field first",35/3,31/3,2018
England,India,India,7 wickets,Bristol,"Jul 8, 2018",/series/india-tour-of-england-2018-1119528/england-vs-india-3rd-t20i-1119545/full-scorecard,Virat Kohli,Eoin Morgan,"India, elected to field first",70/2,73/0,2018
England,India,England,5 wickets,Cardiff,"Jul 6, 2018",/series/india-tour-of-england-2018-1119528/england-vs-india-2nd-t20i-1119544/full-scorecard,Virat Kohli,Eoin Morgan,"England, elected to field first",42/2,31/3,2018
England,India,India,8 wickets,Manchester,"Jul 3, 2018",/series/india-tour-of-england-2018-1119528/england-vs-india-1st-t20i-1119543/full-scorecard,Virat Kohli,Eoin Morgan,"India, elected to field first",54/1,53/1,2018
Ireland,India,India,143 runs,Dublin (Malahide),"Jun 29, 2018",/series/india-tour-of-england-2018-1119528/ireland-vs-india-2nd-t20i-1140993/full-scorecard,Virat Kohli,Gary Wilson,"Ireland, elected to field first",30/4,57/1,2018
Ireland,India,India,76 runs,Dublin (Malahide),"Jun 27, 2018",/series/india-tour-of-england-2018-1119528/ireland-vs-india-1st-t20i-1140992/full-scorecard,Virat Kohli,Gary Wilson,"Ireland, elected to field first",43/1,59/0,2018
Bangladesh,India,India,4 wickets,Colombo (RPS),"Mar 18, 2018",/series/nidahas-t20-series-2017-18-1133811/bangladesh-vs-india-final-1133823/full-scorecard,Rohit Sharma,Shakib Al Hasan,"India, elected to field first",56/2,40/3,2018
Bangladesh,India,India,17 runs,Colombo (RPS),"Mar 14, 2018",/series/nidahas-t20-series-2017-18-1133811/bangladesh-vs-india-5th-match-1133821/full-scorecard,Rohit Sharma,Mahmudullah,"Bangladesh, elected to field first",48/3,49/0,2018
Sri Lanka,India,India,6 wickets,Colombo (RPS),"Mar 12, 2018",/series/nidahas-t20-series-2017-18-1133811/sri-lanka-vs-india-4th-match-1133820/full-scorecard,Rohit Sharma,Thisara Perera,"India, elected to field first",50/2,53/2,2018
Bangladesh,India,India,6 wickets,Colombo (RPS),"Mar 8, 2018",/series/nidahas-t20-series-2017-18-1133811/bangladesh-vs-india-2nd-match-1133818/full-scorecard,Rohit Sharma,Mahmudullah,"India, elected to field first",47/2,44/2,2018
Sri Lanka,India,Sri Lanka,5 wickets,Colombo (RPS),"Mar 6, 2018",/series/nidahas-t20-series-2017-18-1133811/sri-lanka-vs-india-1st-match-1133817/full-scorecard,Rohit Sharma,Dinesh Chandimal,"Sri Lanka, elected to field first",75/2,40/2,2018
South Africa,India,India,7 runs,Cape Town,"Feb 24, 2018",/series/south-africa-v-india-2018-2017-18-1122268/south-africa-vs-india-3rd-t20i-1122287/full-scorecard,Rohit Sharma,Jean-Paul Duminy,"South Africa, elected to field first",25/1,57/1,2018
South Africa,India,South Africa,6 wickets,Centurion,"Feb 21, 2018",/series/south-africa-v-india-2018-2017-18-1122268/south-africa-vs-india-2nd-t20i-1122286/full-scorecard,Virat Kohli,Jean-Paul Duminy,"South Africa, elected to field first",50/2,45/3,2018
South Africa,India,India,28 runs,Johannesburg,"Feb 18, 2018",/series/south-africa-v-india-2018-2017-18-1122268/south-africa-vs-india-1st-t20i-1122285/full-scorecard,Virat Kohli,Jean-Paul Duminy,"South Africa, elected to field first",41/2,78/2,2018
India,West Indies,India,67 runs,Wankhede,"Dec 11, 2019",/series/west-indies-in-india-2019-20-1186986/india-vs-west-indies-3rd-t20i-1187020/full-scorecard,Virat Kohli,Kieron Pollard,"West Indies, elected to field first",41/3,72/0,2019
India,West Indies,West Indies,8 wickets,Thiruvananthapuram,"Dec 8, 2019",/series/west-indies-in-india-2019-20-1186986/india-vs-west-indies-2nd-t20i-1187019/full-scorecard,Virat Kohli,Kieron Pollard,"West Indies, elected to field first",41/0,42/1,2019
India,West Indies,India,6 wickets,Hyderabad,"Dec 6, 2019",/series/west-indies-in-india-2019-20-1186986/india-vs-west-indies-1st-t20i-1187018/full-scorecard,Virat Kohli,Kieron Pollard,"India, elected to field first",50/1,66/2,2019
India,Bangladesh,India,30 runs,Nagpur,"Nov 10, 2019",/series/bangladesh-in-india-2019-20-1186982/india-vs-bangladesh-3rd-t20i-1187015/full-scorecard,Rohit Sharma,Mahmudullah,"Bangladesh, elected to field first",33/2,41/2,2019
India,Bangladesh,India,8 wickets,Rajkot,"Nov 7, 2019",/series/bangladesh-in-india-2019-20-1186982/india-vs-bangladesh-2nd-t20i-1187014/full-scorecard,Rohit Sharma,Mahmudullah,"India, elected to field first",63/0,54/0,2019
India,Bangladesh,Bangladesh,7 wickets,Delhi,"Nov 3, 2019",/series/bangladesh-in-india-2019-20-1186982/india-vs-bangladesh-1st-t20i-1187013/full-scorecard,Rohit Sharma,Mahmudullah,"Bangladesh, elected to field first",45/1,35/1,2019
India,South Africa,South Africa,9 wickets,Bengaluru,"Sep 22, 2019",/series/south-africa-in-india-2019-20-1186975/india-vs-south-africa-3rd-t20i-1187006/full-scorecard,Virat Kohli,Quinton de Kock,"India, elected to bat first",43/0,54/1,2019
India,South Africa,India,7 wickets,Mohali,"Sep 18, 2019",/series/south-africa-in-india-2019-20-1186975/india-vs-south-africa-2nd-t20i-1187005/full-scorecard,Virat Kohli,Quinton de Kock,"India, elected to field first",47/1,39/1,2019
West Indies,India,India,7 wickets,Providence,"Aug 6, 2019",/series/india-tour-of-west-indies-2019-1188617/west-indies-vs-india-3rd-t20i-1188623/full-scorecard,Virat Kohli,Carlos Brathwaite,"India, elected to field first",34/2,22/3,2019
India,West Indies,India,22 runs,Lauderhill,"Aug 4, 2019",/series/india-tour-of-west-indies-2019-1188617/india-vs-west-indies-2nd-t20i-1188622/full-scorecard,Virat Kohli,Carlos Brathwaite,"India, elected to bat first",25/2,52/0,2019
India,West Indies,India,4 wickets,Lauderhill,"Aug 3, 2019",/series/india-tour-of-west-indies-2019-1188617/india-vs-west-indies-1st-t20i-1188621/full-scorecard,Virat Kohli,Carlos Brathwaite,"India, elected to field first",31/1,33/5,2019
India,Australia,Australia,7 wickets,Bengaluru,"Feb 27, 2019",/series/aus-in-ind-2018-19-1168237/india-vs-australia-2nd-t20i-1168248/full-scorecard,Virat Kohli,Aaron Finch,"Australia, elected to field first",42/2,53/0,2019
India,Australia,Australia,3 wickets,Visakhapatnam,"Feb 24, 2019",/series/aus-in-ind-2018-19-1168237/india-vs-australia-1st-t20i-1168247/full-scorecard,Virat Kohli,Aaron Finch,"Australia, elected to field first",41/2,49/1,2019
New Zealand,India,New Zealand,4 runs,Hamilton,"Feb 10, 2019",/series/india-in-new-zealand-2018-19-1153688/new-zealand-vs-india-3rd-t20i-1153698/full-scorecard,Rohit Sharma,Kane Williamson,"India, elected to field first",57/1,66/0,2019
New Zealand,India,India,7 wickets,Auckland,"Feb 8, 2019",/series/india-in-new-zealand-2018-19-1153688/new-zealand-vs-india-2nd-t20i-1153697/full-scorecard,Rohit Sharma,Kane Williamson,"New Zealand, elected to bat first",50/0,43/3,2019
New Zealand,India,New Zealand,80 runs,Wellington,"Feb 6, 2019",/series/india-in-new-zealand-2018-19-1153688/new-zealand-vs-india-1st-t20i-1153696/full-scorecard,Rohit Sharma,Kane Williamson,"India, elected to field first",53/2,66/0,2019
Australia,India,Australia,12 runs,Sydney,"Dec 8, 2020",/series/india-in-australia-2020-21-1223867/australia-vs-india-3rd-t20i-1223954/full-scorecard,Virat Kohli,Aaron Finch,"India, elected to field first",55/1,51/1,2020
Australia,India,India,6 wickets,Sydney,"Dec 6, 2020",/series/india-in-australia-2020-21-1223867/australia-vs-india-2nd-t20i-1223953/full-scorecard,Virat Kohli,Matthew Wade,"India, elected to field first",60/1,59/1,2020
Australia,India,India,11 runs,Canberra,"Dec 4, 2020",/series/india-in-australia-2020-21-1223867/australia-vs-india-1st-t20i-1223952/full-scorecard,Virat Kohli,Aaron Finch,"Australia, elected to field first",53/0,42/1,2020
New Zealand,India,India,7 runs,Mount Maunganui,"Feb 2, 2020",/series/india-in-new-zealand-2019-20-1187673/new-zealand-vs-india-5th-t20i-1187681/full-scorecard,Rohit Sharma,Tim Southee,"India, elected to bat first",41/3,53/1,2020
New Zealand,India,India,7 wickets,Auckland,"Jan 26, 2020",/series/india-in-new-zealand-2019-20-1187673/new-zealand-vs-india-2nd-t20i-1187678/full-scorecard,Virat Kohli,Kane Williamson,"New Zealand, elected to bat first",40/2,48/1,2020
New Zealand,India,India,6 wickets,Auckland,"Jan 24, 2020",/series/india-in-new-zealand-2019-20-1187673/new-zealand-vs-india-1st-t20i-1187677/full-scorecard,Virat Kohli,Kane Williamson,"India, elected to field first",65/1,68/0,2020
India,Sri Lanka,India,78 runs,Pune,"Jan 10, 2020",/series/sri-lanka-tour-of-india-2019-20-1202239/india-vs-sri-lanka-3rd-t20i-1202244/full-scorecard,Virat Kohli,Lasith Malinga,"Sri Lanka, elected to field first",35/4,63/0,2020
India,Sri Lanka,India,7 wickets,Indore,"Jan 7, 2020",/series/sri-lanka-tour-of-india-2019-20-1202239/india-vs-sri-lanka-2nd-t20i-1202243/full-scorecard,Virat Kohli,Lasith Malinga,"India, elected to field first",54/0,48/1,2020
India,New Zealand,India,73 runs,Eden Gardens,"Nov 21, 2021",/series/new-zealand-in-india-2021-22-1278658/india-vs-new-zealand-3rd-t20i-1278673/full-scorecard,Rohit Sharma,Mitchell Santner,"India, elected to bat first",37/3,69/0,2021
India,New Zealand,India,7 wickets,Ranchi,"Nov 19, 2021",/series/new-zealand-in-india-2021-22-1278658/india-vs-new-zealand-2nd-t20i-1278672/full-scorecard,Rohit Sharma,Tim Southee,"India, elected to field first",45/0,64/1,2021
India,New Zealand,India,5 wickets,Jaipur,"Nov 17, 2021",/series/new-zealand-in-india-2021-22-1278658/india-vs-new-zealand-1st-t20i-1278671/full-scorecard,Rohit Sharma,Tim Southee,"India, elected to field first",56/1,41/1,2021
India,Namibia,India,9 wickets,Dubai (DICS),"Nov 8, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/india-vs-namibia-42nd-match-group-2-1273753/full-scorecard,Virat Kohli,Gerhard Erasmus,"India, elected to field first",54/0,34/2,2021
India,Scotland,India,8 wickets,Dubai (DICS),"Nov 5, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/india-vs-scotland-37th-match-group-2-1273748/full-scorecard,Virat Kohli,Kyle Coetzer,"India, elected to field first",82/2,27/2,2021
Afghanistan,India,India,66 runs,Abu Dhabi,"Nov 3, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/afghanistan-vs-india-33rd-match-group-2-1273744/full-scorecard,Virat Kohli,Mohammad Nabi,"Afghanistan, elected to field first",47/2,53/0,2021
India,New Zealand,New Zealand,8 wickets,Dubai (DICS),"Oct 31, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/india-vs-new-zealand-28th-match-group-2-1273739/full-scorecard,Virat Kohli,Kane Williamson,"New Zealand, elected to field first",44/1,35/2,2021
India,Pakistan,Pakistan,10 wickets,Dubai (DICS),"Oct 24, 2021",/series/icc-men-s-t20-world-cup-2021-22-1267897/india-vs-pakistan-16th-match-group-2-1273727/full-scorecard,Virat Kohli,Babar Azam,"Pakistan, elected to field first",43/0,36/3,2021
Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),"Jul 29, 2021",/series/india-tour-of-sri-lanka-2021-1262739/sri-lanka-vs-india-3rd-t20i-1262760/full-scorecard,Shikhar Dhawan,Dasun Shanaka,"India, elected to bat first",23/1,29/4,2021
Sri Lanka,India,Sri Lanka,4 wickets,Colombo (RPS),"Jul 28, 2021",/series/india-tour-of-sri-lanka-2021-1262739/sri-lanka-vs-india-2nd-t20i-1262759/full-scorecard,Shikhar Dhawan,Dasun Shanaka,"Sri Lanka, elected to field first",36/1,45/0,2021
Sri Lanka,India,India,38 runs,Colombo (RPS),"Jul 25, 2021",/series/india-tour-of-sri-lanka-2021-1262739/sri-lanka-vs-india-1st-t20i-1262758/full-scorecard,Shikhar Dhawan,Dasun Shanaka,"Sri Lanka, elected to field first",46/1,51/1,2021
India,England,India,36 runs,Ahmedabad,"Mar 20, 2021",/series/england-tour-of-india-2020-21-1243364/india-vs-england-5th-t20i-1243392/full-scorecard,Virat Kohli,Eoin Morgan,"England, elected to field first",62/1,60/0,2021
India,England,India,8 runs,Ahmedabad,"Mar 18, 2021",/series/england-tour-of-india-2020-21-1243364/india-vs-england-4th-t20i-1243391/full-scorecard,Virat Kohli,Eoin Morgan,"England, elected to field first",48/1,45/1,2021
India,England,England,8 wickets,Ahmedabad,"Mar 16, 2021",/series/england-tour-of-india-2020-21-1243364/india-vs-england-3rd-t20i-1243390/full-scorecard,Virat Kohli,Eoin Morgan,"England, elected to field first",57/1,24/3,2021
India,England,India,7 wickets,Ahmedabad,"Mar 14, 2021",/series/england-tour-of-india-2020-21-1243364/india-vs-england-2nd-t20i-1243389/full-scorecard,Virat Kohli,Eoin Morgan,"India, elected to field first",50/1,44/1,2021
India,England,England,8 wickets,Ahmedabad,"Mar 12, 2021",/series/england-tour-of-india-2020-21-1243364/india-vs-england-1st-t20i-1243388/full-scorecard,Virat Kohli,Eoin Morgan,"England, elected to field first",50/0,22/3,2021
New Zealand,India,India,65 runs,Mount Maunganui,"Nov 20, 2022",/series/india-in-new-zealand-2022-23-1322272/new-zealand-vs-india-2nd-t20i-1322276/full-scorecard,Hardik Pandya,Kane Williamson,"New Zealand, elected to field first",32/1,42/1,2022
England,India,England,10 wickets,Adelaide,"Nov 10, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/england-vs-india-2nd-semi-final-1298178/full-scorecard,Rohit Sharma,Jos Buttler,"England, elected to field first",63/0,38/1,2022
India,Zimbabwe,India,71 runs,Melbourne,"Nov 6, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/india-vs-zimbabwe-42nd-match-group-2-1298176/full-scorecard,Rohit Sharma,Craig Ervine,"India, elected to bat first",28/3,46/1,2022
Bangladesh,India,India,5 runs,Adelaide,"Nov 2, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/bangladesh-vs-india-35th-match-group-2-1298169/full-scorecard,Rohit Sharma,Shakib Al Hasan,"Bangladesh, elected to field first",60/0,37/1,2022
India,South Africa,South Africa,5 wickets,Perth,"Oct 30, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/india-vs-south-africa-30th-match-group-2-1298164/full-scorecard,Rohit Sharma,Temba Bavuma,"India, elected to bat first",24/3,33/2,2022
India,Netherlands,India,56 runs,Sydney,"Oct 27, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/india-vs-netherlands-23rd-match-group-2-1298157/full-scorecard,Rohit Sharma,Scott Edwards,"India, elected to bat first",27/2,32/1,2022
India,Pakistan,India,4 wickets,Melbourne,"Oct 23, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/india-vs-pakistan-16th-match-group-2-1298150/full-scorecard,Rohit Sharma,Babar Azam,"India, elected to field first",31/3,32/2,2022
